User_ID,User_Name,Join_Date,Last_Login,Monthly_Price,Watch_Hours,Favorite_Genre,Active_Devices,Profile_Count,Parental_Controls,Total_Movies_Watched,Total_Series_Watched,Country,Payment_Method,Language_Preference,Recommended_Content_Count,Average_Rating_Given,Has_Downloaded_Content,Membership_Status,Loyalty_Points,First_Device_Used,Age_Group,Primary_Watch_Time
2518,Amber,15-05-2023,13-12-2024,7.99,49,Action,3,6,YES,641,117,USA,PayPal,Hindi,84,3.3,NO,Expired,2878,Smartphone,35-44,Late Night
6430,Patrick,04-03-2023,15-12-2024,7.99,161,Drama,1,2,YES,192,65,USA,PayPal,German,69,4,NO,Expired,2291,Desktop,25-34,Evening
1798,Robert,08-02-2023,14-12-2024,11.99,87,Action,2,5,NO,260,127,Canada,Debit Card,Mandarin,56,3.1,NO,Active,1692,Desktop,35-44,Late Night
5255,Cole,31-01-2023,12-02-2024,15.99,321,Sci-Fi,1,5,NO,61,192,UK,Debit Card,Mandarin,47,4.6,NO,Paused,952,Desktop,25-34,Evening
2854,Jamie,06-06-2023,15-12-2024,11.99,386,Documentary,1,4,YES,230,2,USA,PayPal,Mandarin,39,3.7,NO,Cancelled,1823,Desktop,25-34,Late Night
6735,Mary,17-09-2023,19-11-2024,15.99,408,Documentary,2,6,YES,837,105,India,Credit Card,Spanish,71,4.3,YES,Expired,33,Smart TV,18-24,Morning
2995,Theodore,25-08-2024,12-10-2024,7.99,475,Horror,5,4,YES,510,143,USA,Credit Card,English,1,4.5,NO,Active,755,Laptop,35-44,Late Night
5120,Olivia,31-05-2024,14-12-2024,15.99,258,Action,4,1,YES,907,47,Australia,Debit Card,Hindi,32,3.7,YES,Paused,2866,Smartphone,45-54,Late Night
6063,Patricia,17-06-2023,17-12-2024,15.99,183,Comedy,5,2,YES,676,61,Germany,Cryptocurrency,Mandarin,26,3.3,YES,Paused,336,Tablet,25-34,Late Night
6896,Linda,12-02-2023,14-12-2024,7.99,164,Documentary,5,4,YES,406,79,USA,Credit Card,French,90,3.2,NO,Expired,3898,Laptop,55+,Late Night
8447,Nichole,28-03-2023,22-11-2024,11.99,411,Comedy,5,4,YES,352,78,UK,Credit Card,English,47,3.7,NO,Expired,650,Tablet,55+,Late Night
1433,Frances,03-02-2024,20-11-2024,15.99,160,Drama,5,6,YES,391,132,Canada,Debit Card,German,57,3,NO,Cancelled,185,Laptop,35-44,Late Night
4511,Maurice,27-03-2023,25-11-2024,7.99,348,Drama,2,5,NO,501,71,Germany,Debit Card,French,38,4.3,NO,Paused,1547,Smartphone,45-54,Late Night
9966,Jennifer,15-09-2024,30-11-2024,7.99,451,Documentary,3,1,NO,995,164,UK,Cryptocurrency,English,62,3,YES,Expired,3788,Smartphone,18-24,Late Night
7093,Cheryl,06-07-2023,12-11-2024,7.99,69,Documentary,2,5,NO,222,13,France,PayPal,German,0,4.7,YES,Active,1051,Desktop,18-24,Afternoon
4351,Kathy,18-05-2024,30-11-2024,11.99,166,Horror,1,6,YES,788,31,USA,PayPal,German,25,4.3,YES,Expired,633,Smart TV,35-44,Afternoon
6007,Cassie,14-02-2023,17-12-2024,7.99,449,Horror,2,4,YES,369,25,Germany,Debit Card,Spanish,65,4.6,NO,Active,4133,Smartphone,25-34,Evening
